id,package,date,categories,CWE,url,references,severity,aliases,keywords,versions,affected,affected.functions,fix commit links,pov candidate links
RUSTSEC-2025-0022,openssl,2025-04-04,"[""memory-corruption""]",[],https://github.com/sfackler/rust-openssl/pull/2390,[N/A],[N/A],[N/A],[N/A],"patched = ["">= 0.10.72""]
unaffected = [""< 0.10.39""]",[N/A],"""openssl::md::Md::fetch"" = ["">= 0.10.39, < 0.10.72""]
""openssl::cipher::Cipher::fetch"" = ["">= 0.10.39, < 0.10.72""]",https://github.com/sfackler/rust-openssl/pull/2390/files,https://github.com/sfackler/rust-openssl/pull/2390/files
RUSTSEC-2025-0021,gix-features,2025-04-03,"[""crypto-failure""]","[""CWE-328""]",https://github.com/GitoxideLabs/gitoxide/security/advisories/GHSA-2frx-2596-x5r6,"[ ""https://github.com/advisories/GHSA-2frx-2596-x5r6"", ""https://nvd.nist.gov/vuln/detail/CVE-2025-31130"", ]",Medium,"[""CVE-2025-31130"", ""GHSA-2frx-2596-x5r6""]","[""hash-collision"", ""sha-1"", ""weak-hash""]","patched = ["">= 0.41.0""]",[N/A],"""gix_features::hash::bytes_of_file"" = [""< 0.41.0""]
""gix_features::hash::bytes"" = [""< 0.41.0""]
""gix_features::hash::bytes_with_hasher"" = [""< 0.41.0""]
""gix_features::hash::hasher"" = [""< 0.41.0""]
""gix_features::hash::Hasher::update"" = [""< 0.41.0""]
""gix_features::hash::Hasher::digest"" = [""< 0.41.0""]
""gix_features::hash::Write::new"" = [""< 0.41.0""]
""gix_features::hash::Write::write"" = [""< 0.41.0""]
""gix_features::hash::Write::flush"" = [""< 0.41.0""]",https://github.com/GitoxideLabs/gitoxide/commit/4660f7a6f71873311f68f170b0f1f6659a02829d,https://github.com/GitoxideLabs/gitoxide/security/advisories/GHSA-2frx-2596-x5r6
RUSTSEC-2025-0020,pyo3,2025-04-01,"[""memory-exposure""]",[],https://github.com/PyO3/pyo3/issues/5005,[N/A],[N/A],[N/A],"[""buffer-overflow""]","patched = ["">= 0.24.1""]","functions = { ""pyo3::types::PyString::from_object"" = [""< 0.24.1""], ""pyo3::types::PyString::from_object_bound"" = [""< 0.24.1"", "">= 0.21.0""] }",[N/A],https://github.com/PyO3/pyo3/commit/5caaa371dce8fe8a93c64d7a465c3c2c80ce6e2f,https://github.com/PyO3/pyo3/issues/5005
RUSTSEC-2025-0018,xmas-elf,2025-03-26,"[""memory-exposure""]",[],https://github.com/nrc/xmas-elf/issues/86,[N/A],[N/A],[N/A],[N/A],"patched = ["">=0.10""]","functions = { ""xmas_elf::hash::HashTable::get_bucket"" = [""<0.10""], ""xmas_elf::hash::HashTable::get_chain"" = [""<0.10""] }",[N/A],https://github.com/nrc/xmas-elf/commit/57685c35512a57269086314a42a70441af4ef451,https://github.com/nrc/xmas-elf/issues/86
RUSTSEC-2025-0016,pared,2025-03-13,"[""code-execution""]",[],https://github.com/radekvit/pared/issues/2,[N/A],[N/A],[N/A],[N/A],"patched = ["">= 0.4.0""]",[N/A],"""pared::prc::Prc::from_rc"" = [""< 0.4.0""]
""pared::prc::Prc::project"" = [""< 0.4.0""]
""pared::prc::Prc::try_from_rc"" = [""< 0.4.0""]
""pared::sync::Parc::from_arc"" = [""< 0.4.0""]
""pared::sync::Parc::project"" = [""< 0.4.0""]
""pared::sync::Parc::try_from_arc"" = [""< 0.4.0""]",https://github.com/radekvit/pared/commit/108f540ea8acb6073751a1aa386085c1cdc4fd1e,https://github.com/radekvit/pared/issues/2
RUSTSEC-2025-0015,web-push,2025-02-16,"[""denial-of-service""]",[],https://github.com/pimeys/rust-web-push/pull/68,[N/A],[N/A],[N/A],"[""panic"", ""oom""]","patched = ["">= 0.10.3""]",[N/A],[N/A],https://github.com/pimeys/rust-web-push/pull/68/files,https://github.com/pimeys/rust-web-push/pull/64
RUSTSEC-2025-0005,grcov,2025-01-13,"[""memory-corruption""]",[],https://bugzilla.mozilla.org/show_bug.cgi?id=1917475,[N/A],[N/A],[N/A],[N/A],"patched = ["">0.8.20""]","functions = { ""grcov::covdir::get_coverage"" = [""<=0.8.20""] }",[N/A],https://github.com/mozilla/grcov/commit/c8219563bc91615dd4a27884a5c63f09db8d03bb,https://bugzilla.mozilla.org/show_bug.cgi?id=1917475
RUSTSEC-2024-0441,wasmtime,2024-04-02,"[""denial-of-service""]","[""CWE-843""]",https://github.com/bytecodealliance/wasmtime/security/advisories/GHSA-75hq-h6g9-h4q5,[N/A],Low,"[""CVE-2024-30266"", ""GHSA-75hq-h6g9-h4q5""]",[],"patched = ["">= 19.0.1""]
unaffected = [""< 19.0.0""]",[N/A],[N/A],"https://github.com/bytecodealliance/wasmtime/commit/7f57d0bb0948fa56cc950278d0db230ed10e8664
",https://github.com/bytecodealliance/wasmtime/issues/8281
RUSTSEC-2024-0437,protobuf,2024-12-12,"[""denial-of-service""]",[],https://github.com/stepancheg/rust-protobuf/issues/749,[N/A],[N/A],[N/A],"[""panic""]","patched = ["">= 3.7.2""]","functions = { ""protobuf::coded_input_stream::CodedInputStream::skip_group"" = [""<= 3.4.0""] }",[N/A],https://github.com/stepancheg/rust-protobuf/commit/f06992f46771c0a092593b9ebf7afd48740b3ed6,https://github.com/stepancheg/rust-protobuf/commit/f06992f46771c0a092593b9ebf7afd48740b3ed6
RUSTSEC-2024-0406,ic-stable-structures,2024-05-17,"[""denial-of-service""]","[""CWE-401""]",https://github.com/dfinity/stable-structures/pull/212,[N/A],Medium,"[""CVE-2024-4435"", ""GHSA-3rcq-39xp-7xjp""]","[""canister"", ""icp"", ""memory leak"", ""stable memory""]","patched = ["">= 0.6.4""]
unaffected = [""< 0.6.0""]",[N/A],[N/A],https://github.com/dfinity/stable-structures/pull/212/files,https://github.com/dfinity/stable-structures/pull/212/files
RUSTSEC-2024-0402,hashbrown,2024-10-11,"[""crypto-failure""]",[],https://github.com/rust-lang/hashbrown/issues/576,[N/A],[N/A],[N/A],"[""borsh""]","patched = ["">= 0.15.1""]
unaffected = [""< 0.15.0""]","functions = { ""hashbrown::HashMap::borsh_serialize"" = [""=0.15.0""] }",[N/A],https://github.com/rust-lang/hashbrown/pull/581/files,https://github.com/rust-lang/hashbrown/issues/576
RUSTSEC-2024-0401,zlib-rs,2024-11-14,"[""denial-of-service""]","[""CWE-770""]",https://github.com/trifectatechfoundation/zlib-rs/security/advisories/GHSA-j3px-q95c-9683,[N/A],Medium,"[""GHSA-j3px-q95c-9683""]","[""stack-overflow""]","patched = ["">= 0.4.0""]","functions = { ""zlib_rs::inflate::inflate"" = [""<= 0.3.1""] }",[N/A],https://github.com/trifectatechfoundation/zlib-rs/commit/af224e7c29863a30fb2cd9af85678de85256cc15,http://github.com/trifectatechfoundation/zlib-rs/commit/af224e7c29863a30fb2cd9af85678de85256cc15
RUSTSEC-2024-0399,rustls,2024-11-22,"[""denial-of-service""]",[],https://github.com/rustls/rustls/issues/2227,[N/A],[N/A],[N/A],[N/A],"patched = ["">= 0.23.18""]
unaffected = ["">= 0.23, < 0.23.13"", ""< 0.23""]",[N/A],[N/A],https://github.com/rustls/rustls/pull/2231/files,https://github.com/rustls/rustls/issues/2227
RUSTSEC-2024-0377,dbn,2024-10-07,"[""memory-corruption""]",[],https://github.com/databento/dbn/issues/67,[N/A],[N/A],[N/A],"[""Heap-Buffer-Overflow""]","patched = [""> 0.22.0""]",[N/A],[N/A],https://github.com/databento/dbn/commit/339efb90fdb980920a5e8829008abc1114f4bfdd,"https://github.com/databento/dbn/issues/67

https://github.com/databento/dbn/commit/339efb90fdb980920a5e8829008abc1114f4bfdd"
